Index,Name,Node Index,Enable,Interval,Multiplier,Bit Mask,Word Swap,Byte Swap,Data Type,Tag Type,FC Read,FC Write,Address,Length,Unit
1,sensor_001,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,0,2,1
2,sensor_002,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,1,2,1
3,sensor_003,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,2,2,1
4,sensor_004,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,3,2,1
5,sensor_005,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,4,2,1
6,sensor_006,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,5,2,1
7,sensor_007,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,6,2,1
8,sensor_008,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,7,2,1
9,sensor_009,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,8,2,1
10,sensor_010,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,9,2,1
11,sensor_011,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,10,2,1
12,sensor_012,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,11,2,1
13,sensor_013,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,12,2,1
14,sensor_014,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,13,2,1
15,sensor_015,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,14,2,1
16,sensor_016,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,15,2,1
17,sensor_017,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,16,2,1
18,sensor_018,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,17,2,1
19,sensor_019,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,18,2,1
20,sensor_020,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,19,2,1
21,sensor_021,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,20,2,1
22,sensor_022,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,21,2,1
23,sensor_023,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,22,2,1
24,sensor_024,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,23,2,1
25,sensor_025,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,24,2,1
26,sensor_026,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,25,2,1
27,sensor_027,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,26,2,1
28,sensor_028,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,27,2,1
29,sensor_029,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,28,2,1
30,sensor_030,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,29,2,1
31,sensor_031,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,30,2,1
32,sensor_032,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,31,2,1
33,sensor_033,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,32,2,1
34,sensor_034,1,TRUE,T#1s,1,0,FALSE,FALSE,1,1,3,16,33,2,1
